gene,mean,std,signature,role
EFEMP2,3.0724939399493003,2.2850488106944016,M,consensus_panel
EGR1,4.234681486270506,2.0422272717049017,E,consensus_panel
EHF,2.4347215867124516,2.5583438515214443,E,consensus_panel
ELF3,3.5213185039057837,3.240997736509301,E,consensus_panel
ELK3,3.979972986963351,1.4267034206545046,M,consensus_panel
EML1,2.490236679521583,1.7731092537211954,M,consensus_panel
EMP1,5.184492261255257,3.1051540728266422,E,consensus_panel
EMP3,6.020657026003491,2.6347773279497666,M,consensus_panel
ENC1,4.160216382426153,1.8396848885823385,M,consensus_panel
EPAS1,4.251431582718054,2.199943931770393,E,consensus_panel
EPB41L4B,2.214178255106358,1.498489885644798,E,consensus_panel
EPCAM,4.344889244347317,3.530414679520658,E,consensus_panel
EPHB2,2.6037540214011945,1.705669031217095,M,consensus_panel
ERBB3,3.0586806541827767,2.480906880007751,E,consensus_panel
EREG,2.0555764509893333,2.3389088093014125,E,consensus_panel
ERMP1,3.8475234572251304,1.2175236421327014,E,consensus_panel
ESRP1,2.9455242287632073,2.7098416053900154,E,consensus_panel
ESRP2,2.1356400452191044,2.161508846129448,E,consensus_panel
ETS2,4.320471702898078,1.581837887660968,M,consensus_panel
FA2H,1.3525411431042111,1.3185037272723943,E,consensus_panel
FAM114A1,3.958476062841044,1.911747023345946,M,consensus_panel
FBLN2,1.3856484493298524,1.9098848080986093,M,consensus_panel
FBN1,3.094514522543921,2.7051348005253244,M,consensus_panel
FERMT2,4.13974205068384,2.0273727112513398,M,consensus_panel
FGF2,2.4414582877965016,2.0723409040591743,M,consensus_panel
FGFBP1,2.2168254247306036,2.4110937170720077,E,consensus_panel
FHOD3,2.2150004361978737,1.6389369434145786,M,consensus_panel
FN1,6.402289192390925,3.907508866158529,M,consensus_panel
FOS,4.835057342832363,2.5272129325458628,E,consensus_panel
FOXA2,1.1744632698202615,1.3756088833592968,E,consensus_panel
FOXD1,2.949150153483988,1.8322685377093664,M,consensus_panel
FSTL3,3.997384095055265,1.7208585880351785,M,consensus_panel
FXYD3,3.329128022919919,3.2582762450685077,E,consensus_panel
GADD45B,4.580198928871361,1.610421700517543,M,consensus_panel
GAL,2.308906302685651,1.9646590041152758,M,consensus_panel
GALNT10,3.962601975573008,1.384252053340978,M,consensus_panel
GAS1,1.6630994928410352,1.926357000579292,M,consensus_panel
GASK1B,2.0957298644185074,1.8971303459423774,M,consensus_panel
GDF15,4.633343561073071,2.8921383599318786,E,consensus_panel
GFPT2,1.9388009778496693,1.877562565520553,M,consensus_panel
GLDC,2.219572599349762,2.024064912588869,E,consensus_panel
GLIPR1,3.318493441468877,2.2989892329318122,M,consensus_panel
GNB4,3.345070959745053,1.7985390198550197,M,consensus_panel
GNG11,2.67192428291677,2.285420947381719,M,consensus_panel
GPRC5C,3.019762630508267,2.138903035551123,E,consensus_panel
GRB10,3.4646413168328376,1.7397512870455956,M,consensus_panel
GRB7,2.3329060950594425,2.136821174950231,E,consensus_panel
GREM1,1.8138661202740074,2.7549958134822288,M,consensus_panel
GRHL1,1.7127596456223,1.3958587022831275,E,consensus_panel
GRHL2,1.715447821925018,1.8576631672240107,E,consensus_panel
GRTP1,2.2066318299653145,1.4895516040231396,E,consensus_panel
GSE1,4.512283312856312,1.130531992174321,E,consensus_panel
GULP1,3.7381028887953858,2.031876875105599,E,consensus_panel
HMOX1,3.8986734760920743,1.9644378985091544,M,consensus_panel
HOOK1,2.25910110689715,1.85681544272772,E,consensus_panel
HPGD,2.097367699637168,2.187446835441018,E,consensus_panel
HRH1,1.9852137159939025,1.398281824365745,M,consensus_panel
HS3ST1,0.8850580209094541,1.049269695123463,E,consensus_panel
HS3ST3A1,1.2366181705900707,1.2948257574732391,M,consensus_panel
HS3ST3B1,1.1500402222851782,1.20786046831825,M,consensus_panel
HSF2BP,1.0873816763378064,0.6396900025478921,M,consensus_panel
HTRA1,3.6715118586482505,2.685149374756922,M,consensus_panel
IGFBP4,5.143646896999411,2.7889542151283093,M,consensus_panel
IGFBP5,2.595283725449878,2.9475212667851483,M,consensus_panel
IGFBP7,4.464719312633877,3.29438023633923,M,consensus_panel
IKBIP,4.7532860601919715,1.3017513253275863,M,consensus_panel
IL11,1.6679689590590667,1.681475998951395,M,consensus_panel
IL1RN,1.2847560387808907,1.5718648880304875,E,consensus_panel
IMPA2,4.184521267068301,1.4449833369244762,E,consensus_panel
INHBA,2.060002819770603,2.2938404327975626,M,consensus_panel
INHBB,1.4106694383254363,1.8051057543113953,E,consensus_panel
INPP4B,2.4375347988308693,1.6310250227747776,M,consensus_panel
IRF6,2.1304615876006117,2.2643607429537336,E,consensus_panel
ITGA5,4.289653462473005,2.469199293907764,M,consensus_panel
ITGAV,5.130662947018087,1.630609231513239,M,consensus_panel
ITGB1,8.081608566114019,1.6041312065780333,M,consensus_panel
ITGB3,1.8765395831939322,2.0958216973675343,M,consensus_panel
JAG1,3.5869259632130386,1.9700192870004605,M,consensus_panel
JAG2,2.872478250847052,2.006044336412398,E,consensus_panel
JARID2,2.978783399889406,0.9857868639942592,M,consensus_panel
JUN,4.758199788490677,1.7623520986049395,M,consensus_panel
JUNB,5.171787593408958,1.420259309736304,M,consensus_panel
JUP,4.8133345222793,2.394450962703783,E,consensus_panel
KCNJ15,1.0500640910194383,1.3351802153029508,M,consensus_panel
KCNMA1,2.543792032217804,2.264963840658726,M,consensus_panel
KDELR3,4.274966606816326,2.1499898378444926,M,consensus_panel
KITLG,3.0296409768454597,1.8190793417163407,E,consensus_panel
KLF7,2.657346115357685,1.2507298752641967,M,consensus_panel
KRT14,1.4913217566779537,2.3479578973324644,E,consensus_panel
KRT15,2.420146513793986,2.21760866018239,E,consensus_panel
KRT19,5.126573904961171,3.9022989477397427,E,consensus_panel
LAMA5,5.036908777702153,2.1489712004813217,E,consensus_panel
LAMB1,5.889215523062828,2.5427912288334853,M,consensus_panel
LAMC2,2.9356064227920977,2.7757857834509645,M,consensus_panel
LARP6,3.854549331259439,1.7958739512896151,M,consensus_panel
LBH,3.2908144828651027,2.240846092707265,M,consensus_panel
LCN2,3.1426892088171967,3.258513522036581,E,consensus_panel
LLGL2,3.5375264916293054,2.099243123416215,E,consensus_panel
LMCD1,3.25563336947653,1.9563389090085614,M,consensus_panel
LOX,2.9506037447258437,2.882168524955748,M,consensus_panel
LOXL1,2.8890889823219306,2.3294995654974744,M,consensus_panel
LRP1,3.263033242453434,1.9108089104145696,M,consensus_panel
LSR,4.029939221316831,2.7275651019838714,E,consensus_panel
LUM,2.655976752903592,3.026978738453561,M,consensus_panel
LY6E,7.120398635398827,1.9315830073780516,E,consensus_panel
MAF,1.20418810045542,1.3935275138967889,M,consensus_panel
MAGED2,6.492745459505238,1.2539555910668323,M,consensus_panel
MANSC1,2.947977163754137,1.7612150262915351,E,consensus_panel
MAP1LC3B,6.143971274694591,0.9380217412285988,M,consensus_panel
MAP7,2.229616091090101,1.820824263519378,E,consensus_panel
MARVELD2,1.74517381152809,1.5598427439840787,E,consensus_panel
MATN2,3.127044803043684,2.1177222635135897,M,consensus_panel
MATN3,1.5390115789383179,1.3458113727434293,M,consensus_panel
MBOAT2,4.293348030905152,1.431874959288497,M,consensus_panel
MBP,3.2373727447030336,1.981017355305033,E,consensus_panel
MCM3,6.158313685398488,1.0021328555971212,M,consensus_panel
MCM7,7.10613708371146,0.9712171858001981,M,consensus_panel
MFAP2,2.895493996615,2.312820115696316,M,consensus_panel
MICAL2,4.124944167843125,2.1570742415844366,M,consensus_panel
MITF,2.2215682846431535,1.7439186368902466,E,consensus_panel
MKI67,4.842350725582316,1.2380612150815005,M,consensus_panel
MMP1,2.3101133062317842,2.7275350738909228,M,consensus_panel
MMP10,0.9069919559390602,1.3709961662786867,M,consensus_panel
MMP14,4.981884124017471,2.9196620436918015,M,consensus_panel
MMP2,3.597281468007371,3.284043001357158,M,consensus_panel
MMP7,1.8179258211616303,2.329416700943875,E,consensus_panel
MMP9,0.524481350915901,0.841405007261296,M,consensus_panel
MN1,1.0374779827322371,1.222549178310317,M,consensus_panel
MPZL2,2.524080301917361,2.47601854402227,E,consensus_panel
MRC2,3.2483304884079103,2.4035791849647867,M,consensus_panel
MTUS1,2.8787632120218287,1.7677004938805003,E,consensus_panel
MUC1,3.243329011164822,2.2285909991967543,E,consensus_panel
MYL9,3.649204529747997,3.0027804387097987,M,consensus_panel
MYO10,3.5767684596601885,1.8079722103125233,M,consensus_panel
MYO5B,2.453213666899589,1.9299597895589373,E,consensus_panel
MYO5C,1.8073290495275174,1.5519225591715924,E,consensus_panel
NCF2,1.5209782413375452,1.6462226670073574,M,consensus_panel
